City,Date,pm10,so2,dew,wind-speed,co,o3,temperature,humidity,pressure,wind-gust,pm25,no2,precipitation,wd
Hyderabad,401.0,82.0,3.0,15.0,1.4,4.2,14.6,29.5,40.0,1012.5,0.0,93.0,11.4,0.0,0.0
Hyderabad,402.0,82.0,2.4,16.5,1.2,5.5,14.9,29.5,42.0,1012.0,0.0,125.0,14.3,0.0,0.0
Hyderabad,403.0,82.0,2.6,21.0,1.3,5.9,13.0,29.0,52.2,1012.5,0.0,127.0,14.0,0.0,0.0
Hyderabad,404.0,72.0,2.0,20.0,1.2,5.2,12.0,29.0,51.0,1013.5,0.0,106.0,12.9,0.0,0.0
Hyderabad,405.0,62.0,3.0,15.0,1.1,3.8,21.4,28.6,44.5,1015.0,0.0,90.0,8.3,0.0,0.0
Hyderabad,406.0,60.0,3.1,16.5,0.9,4.7,15.7,28.5,46.0,1013.5,0.0,98.0,15.2,0.0,0.0
Hyderabad,407.0,61.0,2.6,16.5,1.1,4.1,16.9,29.3,46.5,1012.0,9.2,95.0,8.4,0.0,0.0
Hyderabad,408.0,66.0,2.6,18.0,1.0,5.7,13.6,29.5,45.2,1011.0,0.0,93.0,13.5,0.0,0.0
Hyderabad,409.0,73.0,2.8,18.0,0.7,6.4,9.4,29.6,49.2,1012.5,0.0,114.0,18.7,0.0,0.0
Hyderabad,410.0,82.0,2.8,15.5,0.7,6.3,12.2,29.7,41.7,1013.0,0.0,124.0,19.2,0.0,0.0
Hyderabad,411.0,57.0,3.1,14.0,0.9,4.0,12.6,29.3,40.7,1013.0,0.0,95.0,8.2,0.0,0.0
Hyderabad,412.0,69.0,2.9,15.5,1.3,4.9,17.2,29.0,43.7,1012.5,12.3,99.0,10.6,0.0,0.0
Hyderabad,413.0,59.0,2.2,16.0,1.1,4.9,18.7,28.5,43.2,1012.5,0.0,87.0,13.7,0.0,0.0
Hyderabad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hyderabad,415.0,65.0,2.6,14.8,1.1,4.3,17.1,28.8,38.0,1012.0,0.0,100.0,12.7,0.0,0.0
Hyderabad,416.0,76.0,3.1,11.5,1.4,4.8,18.4,29.0,37.0,1012.0,0.0,99.0,11.7,0.0,0.0
Hyderabad,417.0,63.0,2.5,15.5,1.2,4.0,15.9,29.0,40.7,1012.0,0.0,92.0,9.2,0.0,0.0
Hyderabad,418.0,74.0,2.6,19.0,1.2,5.7,16.2,29.1,50.3,1012.0,0.0,117.0,10.9,0.0,0.0
Hyderabad,419.0,57.0,1.3,19.5,1.2,4.7,16.0,28.9,56.7,1012.0,10.2,87.0,10.8,0.0,0.0
Hyderabad,420.0,51.0,1.8,20.5,1.5,4.5,13.9,28.9,59.0,1010.0,9.2,77.0,10.3,0.0,0.0
Hyderabad,421.0,51.0,2.1,20.5,1.5,4.3,15.8,29.4,48.5,1009.0,0.0,72.0,8.3,0.0,0.0
Hyderabad,422.0,55.0,1.9,19.5,1.3,4.5,17.0,29.2,56.5,1010.0,10.2,83.0,9.6,0.0,0.0
Hyderabad,423.0,59.0,2.8,18.0,1.2,5.5,15.5,29.2,49.2,1011.5,9.2,93.0,12.8,0.0,0.0
Hyderabad,424.0,62.0,2.2,17.0,1.2,5.0,18.9,30.3,41.0,1012.0,0.0,85.0,11.9,0.0,0.0
Hyderabad,425.0,69.0,2.6,15.0,1.1,5.2,16.8,30.0,39.0,1012.0,0.0,100.0,14.0,0.0,0.0
Hyderabad,426.0,74.0,2.9,15.0,1.2,5.0,23.1,29.4,39.0,1010.5,0.0,119.0,10.3,0.0,0.0
Hyderabad,427.0,84.0,2.7,15.5,0.9,5.4,23.3,29.6,40.2,1010.0,0.0,132.0,14.0,0.0,0.0
Hyderabad,428.0,78.0,3.3,17.0,1.0,5.3,19.8,29.6,41.0,1010.0,0.0,115.0,9.6,0.0,0.0
Hyderabad,429.0,72.0,3.1,18.5,1.0,5.1,19.6,29.8,44.2,1010.0,0.0,109.0,9.2,0.0,0.0
Hyderabad,430.0,73.0,2.5,19.0,1.2,4.6,18.6,29.5,46.0,1009.0,0.0,110.0,7.7,0.0,0.0
Delhi,401.0,104.0,8.8,9.5,2.0,7.0,17.5,27.7,34.2,986.9,8.2,119.0,15.9,0.0,246.7
Delhi,402.0,124.0,10.7,9.0,1.0,9.8,9.8,27.5,34.8,987.5,0.0,161.0,24.1,0.0,215.7
Delhi,403.0,122.0,8.9,11.0,1.2,9.3,9.3,27.5,37.0,986.2,0.0,161.0,23.0,0.0,214.9
Delhi,404.0,158.0,12.9,13.5,0.9,13.2,12.6,29.7,37.8,987.3,0.0,181.0,28.6,0.0,168.2
