City,Date,wind-gust,wind-speed,o3,pm25,no2,pressure,dew,co,temperature,pm10,humidity,so2,wd,precipitation
Hyderabad,401.0,4.0,0.7,14.6,125.0,6.3,714.7,17.0,4.5,29.0,62.0,47.5,1.6,0.0,0.0
Hyderabad,402.0,6.5,0.8,14.4,132.0,7.4,713.0,18.0,4.3,28.8,63.0,42.2,1.9,0.0,0.0
Hyderabad,403.0,7.7,1.0,13.2,105.0,5.8,714.7,17.0,4.2,29.9,57.0,47.0,3.5,0.0,0.0
Hyderabad,404.0,5.0,0.6,11.4,105.0,6.5,716.0,0.0,4.4,29.1,59.0,50.7,3.7,0.0,0.0
Hyderabad,405.0,8.5,1.0,10.7,89.0,4.5,716.2,0.0,3.8,30.7,49.0,48.5,3.1,0.0,0.0
Hyderabad,406.0,7.5,1.1,10.3,85.0,6.1,720.5,22.0,4.3,30.1,54.0,54.0,3.7,0.0,0.0
Hyderabad,407.0,9.0,1.4,12.9,70.0,5.5,721.5,20.0,4.0,30.2,38.0,48.5,3.0,0.0,0.0
Hyderabad,408.0,8.0,1.5,15.1,71.0,5.9,724.0,20.0,3.5,31.1,39.0,47.7,6.4,0.0,0.0
Hyderabad,409.0,9.0,1.2,12.3,82.0,6.6,723.0,21.5,4.3,29.3,50.0,50.7,3.0,0.0,0.0
Hyderabad,410.0,8.5,1.2,9.2,65.0,6.5,727.0,18.5,4.0,30.2,31.0,45.7,3.2,0.0,0.0
Hyderabad,411.0,7.7,1.0,7.4,74.0,7.4,729.7,16.5,3.0,30.5,37.0,42.2,1.4,0.0,0.0
Hyderabad,412.0,5.5,1.0,6.4,97.0,9.3,723.7,18.0,3.1,31.1,49.0,41.5,1.3,0.0,0.0
Hyderabad,413.0,5.0,0.9,10.7,99.0,7.4,719.0,15.0,3.1,31.1,55.0,36.2,1.2,0.0,0.0
Hyderabad,414.0,7.5,0.9,13.1,102.0,7.5,714.0,14.0,3.4,30.6,59.0,35.7,2.0,0.0,0.0
Hyderabad,415.0,7.6,1.0,13.7,95.0,7.3,714.0,12.0,3.5,29.5,55.0,37.5,2.1,0.0,0.0
Hyderabad,416.0,7.6,0.8,12.3,105.0,7.8,712.5,16.0,4.1,30.0,56.0,38.7,2.2,0.0,0.0
Hyderabad,417.0,7.0,0.8,9.8,106.0,8.1,712.0,18.0,4.0,30.2,57.0,45.5,2.2,0.0,0.0
Hyderabad,418.0,0.0,0.7,8.4,101.0,7.0,712.0,21.0,4.0,30.5,55.0,51.0,1.8,0.0,0.0
