City,Date,co,dew,humidity,no2,o3,pm10,pm25,so2
Hyderabad,2020-04-01 00:00:00,4.5,17.0,47.5,6.3,14.6,62.0,125.0,1.6
Hyderabad,2020-04-02 00:00:00,4.3,18.0,42.2,7.4,14.4,63.0,132.0,1.9
Hyderabad,2020-04-03 00:00:00,4.2,17.0,47.0,5.8,13.2,57.0,105.0,3.5
Hyderabad,2020-04-04 00:00:00,4.4,18.666666666666668,50.7,6.5,11.4,59.0,105.0,3.7
Hyderabad,2020-04-05 00:00:00,3.8,20.333333333333332,48.5,4.5,10.7,49.0,89.0,3.1
Hyderabad,2020-04-06 00:00:00,4.3,22.0,54.0,6.1,10.3,54.0,85.0,3.7
Hyderabad,2020-04-07 00:00:00,4.0,20.0,48.5,5.5,12.9,38.0,70.0,3.0
Hyderabad,2020-04-08 00:00:00,3.5,20.0,47.7,5.9,15.1,39.0,71.0,6.4
Hyderabad,2020-04-09 00:00:00,4.3,21.5,50.7,6.6,12.3,50.0,82.0,3.0
Hyderabad,2020-04-10 00:00:00,4.0,18.5,45.7,6.5,9.2,31.0,65.0,3.2
Hyderabad,2020-04-11 00:00:00,3.0,16.5,42.2,7.4,7.4,37.0,74.0,1.4
Hyderabad,2020-04-12 00:00:00,3.1,18.0,41.5,9.3,6.4,49.0,97.0,1.3
Hyderabad,2020-04-13 00:00:00,3.1,15.0,36.2,7.4,10.7,55.0,99.0,1.2
Hyderabad,2020-04-14 00:00:00,3.4,14.0,35.7,7.5,13.1,59.0,102.0,2.0
Hyderabad,2020-04-15 00:00:00,3.5,12.0,37.5,7.3,13.7,55.0,95.0,2.1
Hyderabad,2020-04-16 00:00:00,4.1,16.0,38.7,7.8,12.3,56.0,105.0,2.2
Hyderabad,2020-04-17 00:00:00,4.0,18.0,45.5,8.1,9.8,57.0,106.0,2.2
Hyderabad,2020-04-18 00:00:00,4.0,21.0,51.0,7.0,8.4,55.0,101.0,1.8
Hyderabad,2020-04-19 00:00:00,3.3,21.0,53.0,6.0,9.0,49.0,85.0,1.7
Hyderabad,2020-04-20 00:00:00,3.1,20.0,53.0,8.3,7.5,46.0,78.0,1.9
Hyderabad,2020-04-21 00:00:00,4.5,19.0,46.7,12.9,7.4,34.0,72.0,1.8
Hyderabad,2020-04-22 00:00:00,3.0,20.0,48.0,9.1,8.4,39.0,75.0,1.7
Hyderabad,2020-04-23 00:00:00,3.4,22.0,49.5,7.0,7.6,52.0,78.0,1.8
Hyderabad,2020-04-24 00:00:00,3.8,22.0,58.5,6.6,8.0,46.0,86.0,1.9
Hyderabad,2020-04-25 00:00:00,3.7,17.5,42.5,9.8,8.0,60.0,89.0,1.8
Hyderabad,2020-04-26 00:00:00,3.5,21.0,57.0,4.3,8.8,48.0,84.0,1.7
Hyderabad,2020-04-27 00:00:00,3.6,22.0,55.0,4.8,9.1,43.0,70.0,1.5
Hyderabad,2020-04-28 00:00:00,3.5,22.0,64.7,3.8,8.4,39.0,71.0,1.6
Hyderabad,2020-04-29 00:00:00,3.4,21.0,48.7,5.6,11.1,34.0,57.0,1.5
Hyderabad,2020-04-30 00:00:00,3.7,20.0,49.7,6.9,12.1,44.0,71.0,1.6
Delhi,2020-04-01 00:00:00,5.0,14.0,53.0,6.2,12.1,54.0,82.0,6.3
Delhi,2020-04-02 00:00:00,5.0,12.0,47.4,5.6,14.2,54.0,78.0,5.0
Delhi,2020-04-03 00:00:00,5.1,8.0,42.0,6.2,18.0,51.0,75.0,5.7
Delhi,2020-04-04 00:00:00,5.5,10.5,44.2,7.1,16.0,57.0,96.0,6.0
Delhi,2020-04-05 00:00:00,6.8,12.5,46.7,7.7,15.9,70.0,130.0,7.6
Delhi,2020-04-06 00:00:00,7.2,13.0,41.9,7.2,14.9,77.0,122.0,6.2
Delhi,2020-04-07 00:00:00,4.6,12.0,44.5,5.8,16.8,70.0,82.0,5.9
Delhi,2020-04-08 00:00:00,4.4,10.0,39.9,5.9,17.7,63.0,78.0,6.0
Delhi,2020-04-09 00:00:00,5.5,10.0,41.0,6.7,17.2,58.0,87.0,5.7
Delhi,2020-04-10 00:00:00,7.1,11.0,38.6,9.4,11.6,73.0,137.0,6.4
