City,Date,dew,pm10,no2,so2,pm25,pressure,wind-speed,co,temperature,humidity,o3,wind-gust,precipitation,wd
Hyderabad,401.0,10.5,110.0,18.5,3.8,152.0,707.0,0.7,4.5,29.2,36.0,6.2,7.7,0.0,0.0
Hyderabad,402.0,9.0,112.0,17.8,4.4,157.0,708.7,0.8,5.1,28.9,37.0,6.4,4.0,0.0,0.0
Hyderabad,403.0,10.0,110.0,19.5,3.9,158.0,709.0,0.6,5.1,29.1,35.7,6.7,5.0,0.0,0.0
Hyderabad,404.0,16.0,109.0,15.4,3.4,157.0,710.2,0.7,5.8,28.7,46.0,6.7,3.2,0.0,0.0
Hyderabad,405.0,22.0,107.0,17.4,2.8,155.0,711.5,0.7,7.0,28.6,59.5,7.1,8.0,0.0,0.0
Hyderabad,406.0,20.5,94.0,14.1,2.5,151.0,711.0,0.8,6.0,29.5,53.5,7.8,7.2,0.0,0.0
Hyderabad,407.0,17.0,87.0,13.7,1.9,140.0,711.5,0.8,4.7,30.0,48.5,7.0,7.2,0.0,0.0
Hyderabad,408.0,15.0,91.0,14.0,3.0,147.0,710.0,0.6,4.4,28.9,48.2,6.2,5.7,0.0,0.0
Hyderabad,409.0,18.5,97.0,17.9,3.2,152.0,710.0,0.7,5.4,29.0,51.5,6.8,8.0,0.0,0.0
Hyderabad,410.0,18.5,80.0,11.9,2.0,112.0,711.0,1.1,4.1,29.0,51.7,7.0,9.7,0.0,0.0
Hyderabad,411.0,19.0,56.0,8.7,2.1,79.0,712.5,1.0,4.0,28.7,55.5,6.0,8.0,0.0,0.0
Hyderabad,412.0,20.0,72.0,16.5,2.1,102.0,713.0,0.5,5.3,28.6,56.0,6.4,6.6,0.0,0.0
Hyderabad,413.0,18.5,62.0,13.1,2.1,95.0,712.5,0.7,4.4,28.7,55.0,7.5,8.5,0.0,0.0
Hyderabad,414.0,18.5,42.0,12.1,2.4,77.0,713.5,1.0,4.1,28.5,61.0,7.7,6.0,0.0,0.0
Hyderabad,415.0,17.5,55.0,13.3,2.2,95.0,712.0,1.0,4.4,28.6,59.0,8.5,7.0,0.0,0.0
Hyderabad,416.0,16.0,70.0,16.2,2.3,109.0,711.0,0.6,5.2,29.0,50.5,6.7,2.7,0.0,0.0
Hyderabad,417.0,18.0,65.0,14.7,2.1,115.0,711.7,0.7,4.5,29.0,51.0,6.2,5.6,0.0,0.0
Hyderabad,418.0,18.5,77.0,17.4,2.3,138.0,712.0,0.6,4.7,28.5,50.0,7.0,3.3,0.0,0.0
Hyderabad,419.0,18.5,79.0,14.7,2.5,137.0,710.2,0.6,4.3,29.1,48.5,6.8,2.7,0.0,0.0
Hyderabad,420.0,18.6,83.0,16.3,2.4,141.0,709.0,0.8,4.4,28.6,49.0,7.5,6.0,0.0,0.0
Hyderabad,421.0,20.0,70.0,12.1,2.2,124.0,710.5,0.6,4.3,28.6,52.5,6.5,5.0,0.0,0.0
Hyderabad,422.0,19.5,67.0,9.3,1.8,118.0,711.5,1.0,3.6,28.5,57.7,7.2,8.0,0.0,0.0
Hyderabad,423.0,18.5,59.0,10.6,1.9,98.0,711.0,1.0,3.1,28.5,53.0,7.0,7.3,0.0,0.0
Hyderabad,424.0,18.0,68.0,13.2,2.5,112.0,711.0,0.6,4.1,28.5,49.2,6.9,4.3,0.0,0.0
Hyderabad,425.0,18.0,75.0,12.9,2.2,134.0,710.5,0.8,4.2,28.5,46.5,7.8,6.0,0.0,0.0
Hyderabad,426.0,14.5,65.0,11.8,2.6,100.0,710.0,1.0,3.8,28.9,40.5,7.5,5.2,0.0,0.0
